Tourismus Jahr,Gemeinde Anzahl Übernachtungen,Monat Name
2008,5956488,Januar
2008,7491265,Februar
2008,6414823,März
2008,1303595,April
2008,1606159,Mai
2008,2310253,Juni
2008,4491372,Juli
2008,4801509,August
2008,2875172,September
2008,1722084,Oktober
2008,773506,November
2008,3672381,Dezember
2009,6135083,Januar
2009,7198857,Februar
2009,4660763,März
2009,2652419,April
2009,1315421,Mai
2009,2326131,Juni
2009,4304763,Juli
2009,5108000,August
2009,2873519,September
2009,1619705,Oktober
2009,795884,November
2009,4141477,Dezember
2010,5967714,Januar
2010,7075605,Februar
2010,5232958,März
2010,2128494,April
2010,1396662,Mai
2010,2222708,Juni
2010,4400515,Juli
2010,5164993,August
2010,2900890,September
2010,1698618,Oktober
2010,787330,November
2010,4049363,Dezember
2011,6309995,Januar
2011,6413842,Februar
2011,5496855,März
2011,1989380,April
2011,1065926,Mai
2011,2608243,Juni
2011,4377763,Juli
2011,5242420,August
2011,2946257,September
2011,1827988,Oktober
2011,859974,November
2011,3760599,Dezember
2012,6399793,Januar
2012,7364080,Februar
2012,5065029,März
2012,2361303,April
2012,1387735,Mai
2012,2397106,Juni
2012,4453047,Juli
2012,5267152,August
2012,3039181,September
2012,1780966,Oktober
2012,887346,November
2012,3621564,Dezember
2013,6211556,Januar
2013,7573437,Februar
2013,5974432,März
2013,1570129,April
2013,1522169,Mai
2013,2227064,Juni
2013,4615269,Juli
2013,5523812,August
2013,2991344,September
2013,1847696,Oktober
2013,907446,November
2013,3983929,Dezember
2014,5883474,Januar
2014,6694187,Februar
2014,5532722,März
2014,2162443,April
2014,1274235,Mai
2014,2684350,Juni
2014,4346210,Juli
2014,5740083,August
2014,3000343,September
2014,1914327,Oktober
2014,920006,November
2014,4177570,Dezember
2015,5902661,Januar
2015,7553874,Februar
2015,5104294,März
2015,2181423,April
2015,1556994,Mai
2015,2568320,Juni
2015,4789730,Juli
2015,5822241,August
2015,3117144,September
2015,1821822,Oktober
2015,932772,November
2015,4285782,Dezember
2016,5996472,Januar
2016,7748837,Februar
2016,6478731,März
2016,1492247,April
2016,1774644,Mai
2016,2370958,Juni
2016,5146109,Juli
2016,6147274,August
2016,3261739,September
2016,2095414,Oktober
2016,1033521,November
2016,4054281,Dezember
2017,6144987,Januar
2017,7386471,Februar
2017,5646809,März
2017,2715254,April
2017,1375255,Mai
2017,3046686,Juni
2017,5265683,Juli
2017,6123004,August
2017,3242997,September
2017,2139510,Oktober
2017,1007872,November
2017,3562480,Dezember
2018,6467790,Januar
2018,7764186,Februar
2018,6349779,März
2018,2096682,April
2018,1932100,Mai
2018,2758371,Juni
2018,5569066,Juli
2018,5978179,August
2018,3396077,September
2018,2172972,Oktober
2018,1077779,November
2018,3826800,Dezember
2019,6207007,Januar
2019,7443321,Februar
2019,6075270,März
2019,2550681,April
2019,1406590,Mai
2019,3371765,Juni
2019,5643992,Juli
2019,6071372,August
2019,3349975,September
2019,2319416,Oktober
2019,1114440,November
2019,4095128,Dezember
2020,6500852,Januar
2020,8315960,Februar
2020,2547622,März
2020,38511,April
2020,100257,Mai
2020,1135764,Juni
2020,4840808,Juli
2020,5639460,August
2020,3058150,September
2020,805869,Oktober
2020,1120763,November
2020,4401860,Dezember
2021,97528,Januar
2021,101591,Februar
2021,127919,März
2021,121131,April
2021,593669,Mai
2021,1936152,Juni
2021,4709451,Juli
2021,6679797,August
2021,3608779,September
2021,2337401,Oktober
2021,159109,November
2021,105720,Dezember
2022,4298831,Januar
2022,5686409,Februar
2022,5015672,März
2022,2536779,April
2022,1432227,Mai
2022,3324843,Juni
2022,5375044,Juli
2022,6571558,August
2022,3449449,September
2022,2295143,Oktober
2022,813803,November
2022,2558142,Dezember
2023,6119593,Januar
2023,1062282,November
2023,3847677,Dezember
